rating_numeric,confidence_numeric,alpha,beta
1,1,1.1532748734247142,2.379473860822428
1,2,1.4141182843558209,4.727064559202388
1,3,2.7943942098127432,17.14954788831469
1,4,4.138473245479026,29.24625920931123
2,1,1.8635022610226373,3.0148386090528208
2,2,3.398697476118911,6.596960777610792
2,3,10.778940534936554,23.817527914851958
2,4,17.452284257064413,39.38866326648363
3,1,2.7588973578217617,2.7588973578217617
3,2,5.815782028328066,5.815782028328066
3,3,20.36393797774266,20.36393797774266
3,4,33.3866758531986,33.3866758531986
4,1,3.0148386090528208,1.8635022610226373
4,2,6.596960777610792,3.398697476118911
4,3,23.817527914851958,10.778940534936554
4,4,39.38866326648363,17.452284257064413
5,1,2.379473860822428,1.1532748734247142
5,2,4.727064559202388,1.4141182843558209
5,3,17.14954788831469,2.7943942098127432
5,4,29.24625920931123,4.138473245479026
